title,date
"Лидерство в искусственном интеллекте обсудят эксперты в Плехановском университете на дискуссионной сессии форума «Шаг в будущее: глобальный форсайт, искусственный интеллект и стратегическое лидерство»",2025-05
"Cтратегии применения ИИ в образовании обсудят эксперты на дискуссионной сессии форума «Шаг в будущее: глобальный форсайт, искусственный интеллект и стратегическое лидерство» в Плехановском университете",2025-05
Плехановские учёные разработали цифровую платформу для развития устойчивого туризма,2025-05
Возможности для взаимного экономического роста двух стран обсудят на Российско-Камбоджийской бизнес-сессии форума «ШАГ В БУДУЩЕЕ» в РЭУ,2025-05
ТАСС — генеральный информационный партнёр VII Международного научного форума «ШАГ В БУДУЩЕЕ» в Плехановском университете,2025-05
"В Плехановском университете пройдёт форум «ШАГ В БУДУЩЕЕ: глобальный форсайт, искусственный интеллект и стратегическое лидерство»",2025-05
От Москвы до Могилёва: учёные РЭУ проектируют новые пищевые продукты в кооперации с зарубежными коллегами,2025-05
Поддержка инженерного образования: Плехановский университет на конференции «Инженеры будущего-2025»,2025-05
Плехановский университет – победитель конкурсного отбора грантов на реализацию углубленного ИТ-образования,2025-05
Биоэкономика в России: апрельский дайджест Плехановского университета,2025-05
ИИ и современный туризм: анализ и разработки магистранта Плехановки,2025-05
Студентка Высшей школы менеджмента Плехановки – победитель Универсиады «Ломоносов»,2025-05
Грант на развитие студенческой науки: СНО РЭУ — в числе победителей IV Конкурса студенческих научных объединений,2025-05
Ташкентский филиал РЭУ им. Г.В. Плеханова отметил свое 30-летие,2025-04
ВЕДОМОСТИ: В Плехановском университете пройдёт VII Международный научный форум «Шаг в будущее»,2025-04
Пищевые технологии для ментального здоровья: разработка РЭУ отмечена на Конгрессе молодых учёных в Санкт-Петербурге,2025-04
Ученые РЭУ им. Г.В. Плеханова – лауреаты Общенационального конкурса Российского профессорского собрания «Учебник года»,2025-04
Диалог бизнеса и власти: в Плехановском университете обсудили формирование научных школ корпоративного GR,2025-04
Полезные сладости: плехановские учёные разработали рецепты десертов для здоровья и долголетия,2025-04
Плехановский университет – победитель конкурса и обладатель гранта Минобрнауки России на создание студенческого конструкторского бюро,2025-04
Лучшие практики и главные тенденции в сфере закупок обсудили эксперты в Плехановском университете,2025-04
Школьники знакомятся с Плехановкой на Неделе высоких технологий и технопредпринимательства,2025-04
«Вперёд к Победе!»: на научно-практической конференции в Плехановке студенты вспомнили события Крымской наступательной операции,2025-04
Ученые РЭУ представили концептуальную модель функционирования Всесезонного курорта Манжерок на форуме «Сила гор. Шерегеш»,2025-04
Плехановские учёные исследовали маятниковую трудовую миграцию между Москвой и Московской областью,2025-04
Байесовские сети в науке: учёные РЭУ изучают взаимодействия нескольких лекарственных препаратов,2025-04
Глава Минэкономразвития РФ Максим Решетников о росте интереса российских корпораций к университетам страны,2025-04
РЭУ – в числе лучших вузов по качеству подготовки специалистов в области ИИ,2025-04
Плехановские учёные разрабатывают нейросеть для диагностики рака груди,2025-04
Предложения Плехановского университета приняты для представления в рабочей группе саммита G20 по биоэкономике,2025-04
Биоэкономика в России: ежемесячный дайджест Плехановского университета,2025-04
Студенческие конструкторские бюро: Плехановка – в финале конкурса Минобрнауки России,2025-04
Аспиранты Плехановки проходят конкурсный отбор на получение стипендии Президента РФ,2025-04
Плехановские учёные разрабатывают нейросеть для диагностики рака груди,2025-03
Плехановский университет представил концепцию развития направлений биоэкономики на международном форуме в Казани,2025-03
Анализ тенденций в бюджетно-налоговой сфере в России: новый выпуск аналитического бюллетеня научных сотрудников РЭУ,2025-03
Достижения плехановских учёных: замедление разложения биополимеров с помощью озона,2025-03
Новые возможности борьбы с эндокринными заболеваниями исследуют в Плехановском университете,2025-03
Управление закупками в новых реалиях обсудили эксперты в Плехановском университете,2025-03
Полимеры для импортозамещения и защиты окружающей среды: разработки плехановских учёных представлены на конференции РАН,2025-03
«Вперёд к Победе!»: сохранение исторической памяти обсудили в Плехановке на научно-практической конференции,2025-03
Совершите первое открытие со Студенческим научным обществом РЭУ,2025-02
Разработка плехановских учёных — в эфире телеканала «Россия 1»,2025-02
Плехановские учёные представили высокоэффективные полимерные разработки на Форуме будущих технологий,2025-02
"Неделя экономической науки в РЭУ – 2025: инновации, идеи, проекты",2025-02
Новые образовательные траектории: заседание расширенного ректората Плехановского университета,2025-02
"Учёные Плехановского университета: Валерий Масленников, профессор кафедры теории менеджмента и бизнес-технологий",2025-02
"Учёные Плехановского университета: Алексей Фатьянов, заведующий кафедрой государственно-правовых и уголовно-правовых дисциплин",2025-02
Плехановские учёные создали модель для оценки инновационного развития регионов на основе ИИ,2025-02
Ректор РЭУ Иван Лобанов провёл рабочую встречу с Заместителем Председателя Правительства России Татьяной Голиковой,2025-02
Плехановский университет поздравляет: Международный день женщин и девочек в науке,2025-02
Плехановский университет поздравляет: Международный день женщин и девочек в науке,2025-02
Цифровая революция в недвижимости: как технологии меняют правила игры,2025-02
На благо страны и всей планеты: всё о лаборатории «Перспективные композиционные материалы и технологии»,2025-02
Председатель Правительства РФ Михаил Мишустин поздравил учёных с Днём российской науки,2025-02
Поздравление Заместителя Председателя Правительства РФ Дмитрия Чернышенко с Днём российской науки,2025-02
Министр науки и высшего образования РФ Валерий Фальков поздравил учёных с Днём российской науки,2025-02
Ко Дню российской науки: наука РЭУ в цифрах,2025-02
"Учёные Плехановского университета: Людмила Елисеева, профессор кафедры товарной экспертизы и таможенного дела",2025-02
"Учёные Плехановского университета: Юрий Тельнов, заведующий кафедрой прикладной информатики и информационной безопасности",2025-02
У каждого свой путь в науку: молодые учёные Воронежского филиала Плехановки рассказывают о достижениях,2025-02
Учёные Плехановского университета обсудили подходы к формированию нацпроекта «Биоэкономика» на заседании Совета по развитию микробиологической промышленности и биотехнологий РФ,2025-01
Учёные Плехановского университета и Российской академии наук разработали предложения по реформированию зарплат госслужащих России,2025-01
Антибактериальный и биоразлагаемый: учёные Плехановского университета разработали новый упаковочный материал,2025-01
Аудит и финансовый контроль в условиях меняющейся экономики обсудили учёные РЭУ и ДонНУЭТ на совместной конференции,2025-01
Коммерциализация авторских прав на книжном рынке: исследование плехановских учёных,2025-01
В новый год — с новыми открытиями! Учёные РЭУ им. Г.В. Плеханова разработали полимерный материал с повышенной термостабильностью,2025-01
Значимое событие года для благополучия страны: в РЭУ открыт Аналитический центр Роскачества,2025-01
Фундаментальные исследования учёных Плехановского университета способствуют социально-экономическому развитию Арктики,2024-12
Технологическое лидерство: учёные Плехановки предложили решения для экономики промышленности на научно-практической конференции,2024-12
Создавая успешное технологическое будущее: научные исследования кафедры информатики и информационной безопасности в области ИТ-архитектуры,2024-12
ESG-ценности в управлении компаниями: эксперт РЭУ на конференции «Управление активами – 2024»,2024-12
Эксперт научно-исследовательского института РЭУ — о регуляторной политике кондитерской отрасли на форуме в Санкт-Петербурге,2024-12
«Золотые имена Высшей школы»: декан факультета «Форсайт» Денис Максимов — победитель Всероссийского конкурса,2024-12
Цифровые технологии как драйвер инновационного развития: эксперты ведущих вузов страны на конференции в Плехановском университете,2024-12
Управление интеллектуальным капиталом: Плехановский университет делится опытом проведения НИОКР на экспертной дискуссии в Курчатовском институте,2024-12
Это наше будущее: молодые исследователи об искусственном интеллекте и его влиянии на человека и общество на межвузовской конференции в РЭУ,2024-12
Анализ тенденций в бюджетно-налоговой сфере: новый выпуск аналитического бюллетеня научных сотрудников РЭУ,2024-12
Успешное расследование преступлений с применением компьютерных технологий: круглый стол в Плехановском университете,2024-12
Молодые учёные РЭУ — обладатели специальной премии ГК «Титан» в области химии и технологических решений,2024-12
Плехановский университет поздравляет с Днëм математика,2024-12
Кафедра высшей математики Плехановки — базис для подготовки высококвалифицированных экономистов и финансистов,2024-11
Учёный РЭУ Игорь Никитин о вкладе плехановцев в развитие Арктики на тематическом форуме,2024-11
«Экономика и инновации»: школьники и студенты подали 620 научных работ на межвузовской научно-практической конференции в РЭУ,2024-11
Молодой математик РЭУ Евгения Коробко: «Решаю уравнение Эмдена-Фаулера!»,2024-11
Расширение научной деятельности и развитие системы дополнительного образования: заседание Учёного совета Плехановского университета,2024-11
Новые горизонты роста экспорта и ВЭД: эксперты представили решения для бизнеса на международном научно-практическом форуме в РЭУ,2024-11
РЭУ им. Г.В. Плеханова вошёл в международный рейтинг междисциплинарных исследований,2024-11
"В РЭУ открыта аудитория имени заслуженного деятеля науки, экономиста Руслана Хасбулатова",2024-11
Всё о межгосударственной стандартизации: сессия Международного форума «Всемирный день качества» в РЭУ,2024-11
"РЭУ им. Г.В. Плеханова включен Минобрнауки России в перечень вузов, привлекающих молодых учёных из новых регионов РФ к исследованиям в области охраны природы",2024-11
Легендарная оборона Севастополя: ректору РЭУ Ивану Лобанову презентовали собранные студентами Севастопольского филиала исторические артефакты,2024-11
Развивая химпром: расширенное заседание Совета молодых учёных Российского союза химиков в РЭУ,2024-11
Новые химические элементы в Периодическую систему Менделеева: открытая лекция учёного Юрия Оганесяна для студентов РЭУ,2024-11
"Развитие передовых инженерных школ, укрепление партнёрства и трудоустройство выпускников: заседание расширенного ректората РЭУ",2024-11
Время первых: в Тульском филиале Плехановского университета открыта аспирантура,2024-11
Поздравление ректора РЭУ им. Г.В. Плеханова Ивана Лобанова со Всемирным днём науки,2024-11
Победитель конкурса «Молодой преподаватель вуза города Москвы» Александра Забелина о работе в РЭУ и востребованных профессиях в области организации питания,2024-11
Инновации в промышленности: круглый стол о переработке отходов и экономике замкнутого цикла в Плехановском университете,2024-11
Искусственный интеллект и духовность: международная конференция о влиянии технологий на человека в Плехановском университете,2024-11
"Молодой учёный РЭУ Ксения Прокопович об увлечении химией, подготовке к кандидатской и работе в Совете молодых учёных при Правительстве Москвы",2024-10
Плехановский университет — победитель конкурса лучших практик университетов программы «Приоритет-2030»,2024-10
Перспективная площадка для научных исследований: ректор РЭУ Иван Лобанов провёл рабочую встречу с Председателем Совета директоров «МХК «ЕвроХим» Игорем Нечаевым и руководителем Российского научного фонда Владимиром Беспаловым,2024-10
Молодой преподаватель РЭУ Лиза Григорян: «Активно вовлекаю студентов в исследовательскую деятельность»,2024-10
«Шаг в науку»: конкурс на выполнение научно-исследовательских работ для студентов и аспирантов принимает заявки до 21 октября,2024-10
Фестиваль NAUKA 0+: плехановские учёные провели мастер-классы по криминалистике и лекции о менеджменте в бизнесе,2024-10
Аспирант РЭУ Батсайхан Индра: «В Плехановке я изучаю передовой управленческий опыт»,2024-10
Трансформация глобальной финансовой архитектуры: межвузовский круглый стол в РЭУ,2024-10
Развитие регионов через творческие кластеры: эксперты о роли креативных индустрий в цифровой экономике на научно-практической конференции в РЭУ,2024-10
Молодой учёный РЭУ Андрей Костин: «Моё профессиональное развитие началось в Плехановке»,2024-10
Ректор РЭУ Иван Лобанов принял участие в заседании Экспертного совета при Правительстве РФ по установлению специального регулирования для осуществления деятельности по партнёрскому финансированию,2024-10
«Шаг в науку»: конкурс на выполнение научно-исследовательских работ для студентов и аспирантов,2024-10
Продовольственная безопасность: учëные РЭУ делятся опытом создания инновационных технологий в пищевой промышленности на конференции в Минске,2024-10
Форум «Нефть и газ Сахалина»: экспертный потенциал РЭУ востребован ПАО «Газпром»,2024-10
Твой шанс стать экспертом по нейросетям: рассказываем о Центре перспективных исследований в искусственном интеллекте РЭУ:,2024-10
Плехановские учёные развивают фудтех: перспективные исследования лаборатории «Биотехнологии пищевых систем»,2024-10
Наука начинается со статьи: мастер-класс для будущих учёных,2024-09
Успешный вклад в будущее: Плехановский университет проводит ежегодный проект «Неделя науки»,2024-09
Для будущих лидеров сферы ИИ: всё о плехановской Лаборатории робототехники,2024-09
Для будущих лидеров сферы ИИ: всё о плехановской Лаборатории робототехники,2024-09
Студенты Плехановки на встрече с Министром энергетики РФ Сергеем Цивилёвым и экспертами энергетической отрасли мирового уровня,2024-09
Передовые инженерные школы: РЭУ расширяет взаимодействие с участниками федерального проекта,2024-09
Сладкое на пользу: ученые РЭУ им. Г.В. Плеханова разработали рецепт шоколада с повышенной пищевой ценностью,2024-09
Плехановка развивает искусственный интеллект: Всероссийский семинар по ИИ в РЭУ,2024-09
Обучаться в РЭУ — обучаться  у лучших! Учёный РЭУ Михаил Мазуров о физике сознания на Всемирном конгрессе в Москве,2024-09
Эксперты РЭУ  — участники Международного форума технического текстиля,2024-09
Эксперты РЭУ  — участники Международного форума технического текстиля,2024-09
Плехановцы среди финалистов IX Всероссийского конкурса «Наука будущего - наука молодых»,2024-09
Перспективы рециклинга и аддитивных технологий: делегация РЭУ посетила ведущие научные предприятия Ярославля,2024-09
Учёные РЭУ им. Г.В. Плеханова и Евразийская экономическая комиссия подвели итоги исследования по защите прав потребителей в странах ЕАЭС,2024-09
Анализ тенденций в бюджетно-налоговой сфере в России: новый выпуск аналитического бюллетеня научных сотрудников РЭУ,2024-09
Биоэкономика — приоритет государственной политики и международного сотрудничества: ректор РЭУ Иван Лобанов — модератор сессии Плехановского университета на ВЭФ,2024-09
Демографический суверенитет как основа экономического развития России: проректор РЭУ Светлана Нечаева – участник сессии ВЭФ,2024-09
Аспирант РЭУ Алексей Семёнов: «Защита диссертации — это новые карьерные возможности и компетенции!»,2024-08
Эксперт Плехановского университета Елена Масталыгина выступила с докладом на заседании Консорциума ППК «РЭО»,2024-08
Звезда научного небосклона Элина Неофиту: «Защита кандидатской – огромное карьерное преимущество!»,2024-08
«Наука будущего – наука молодых»: студенты и аспиранты РЭУ – в числе самых активных участников Всероссийского конкурса,2024-07
Молодые учёные РЭУ покоряют Дальний Восток!,2024-07
Проректор РЭУ Ксения Екимова — эксперт в составе Комиссии по этике в сфере искусственного интеллекта,2024-07
Строительство биоэкономики для страны: РЭУ на проектно-образовательном интенсиве «Архипелаг 2024»,2024-07
Ситуационный центр социально-экономического развития регионов РФ: учёные и студенты РЭУ совместно работают над передовыми исследованиями для страны,2024-07
Молодые учёные РЭУ. Мария Подзорова: «Университет помогает молодёжи в развитии науки!»,2024-07
Химики РЭУ — на XX  конференции «Новые полимерные композиционные материалы»,2024-07
Совместная лаборатория РЭУ и ИСП РАН — цифровые технологии будущего,2024-07
Плехановский университет впервые вошёл в мировой предметный рейтинг по химии,2024-07
"Молодые учёные Плехановки. Дарья Воротникова: «РЭУ – место, где каждый найдёт свою нишу»",2024-07
"Молодые учёные РЭУ. Дарья Симина: «Ни минуты не пожалела, что выбрала Плехановку!»",2024-07
Эксперты РЭУ обсудили перспективы майнинга в искусственном интеллекте на заседании РОЦИТ,2024-07
Молодой учёный РЭУ Александр Спасов: «Провожу занятия и радуюсь горящим глазам плехановцев!»,2024-07
Плехановские учёные разработали технологию улучшения дорожных покрытий,2024-06
ОS DAY 2024 — защита операционных систем: научно-практическая конференция в РЭУ,2024-06
Плехановские учёные оценили роль уходящего из страны иностранного бизнеса,2024-06
«Зелёные» технологии в строительстве обсудили на международной конференции в РЭУ,2024-06
Экономика СССР в годы ВОВ: научная конференция в РЭУ,2024-06
Профессор РЭУ – о продовольственной безопасности РФ на международной выставке «Россия»,2024-06
Иван Лобанов провёл рабочую встречу с сотрудниками Центра перспективных исследований в искусственном интеллекте,2024-06
РЭУ и «Бавар+» откроют R&D Центр пищевых биотехнологий,2024-06
Студенческое научное общество РЭУ — победитель конкурса Минобрнауки России,2024-06
РЭУ им. Г.В. Плеханова подписал соглашение о сотрудничестве с компанией «Бавар+»,2024-05
Совет молодых учёных и Студенческое научное общество РЭУ – на конференции «Новые материалы и технологии для устойчивого развития»,2024-05
Новые материалы и технологии для устойчивого развития: научная конференция в РЭУ,2024-05
Поддержка инициатив молодых учёных: заседание Комитета по химической промышленности «Деловой России» в РЭУ им. Г.В. Плеханова,2024-05
ИИ в теории и на практике: Всероссийский семинар по искусственному интеллекту в РЭУ,2024-05
В РЭУ разработали нейросеть для определения индекса счастья,2024-05
Место уходящих иностранных компаний в экономике отраслей и регионов России: новый выпуск аналитического бюллетеня научных сотрудников РЭУ,2024-05
Перспективы российской экономики: МАЭФ на площадке РЭУ,2024-05
Учёные РЭУ им. Г.В. Плеханова разработали новый рецепт ржано-пшеничного хлеба,2024-05
Векторы развития статистики ЕАЭС: Плехановский университет — соорганизатор международного семинара,2024-05
Анализ тенденций в бюджетно-налоговой сфере в России: новый выпуск аналитического бюллетеня научных сотрудников РЭУ,2024-05
«Инженеры будущего»: учёные РЭУ — эксперты городской научно-практической конференции,2024-05
Большие данные в науке и жизни: итоги Недели статистики в Плехановском университете,2024-05
Эксперты РЭУ — о перспективах кондитерской отрасли,2024-05
Перспективы для будущих учёных: завершены 37 международные Плехановские чтения,2024-04
Технологии неразрушающего контроля в товарной экспертизе: профессоры РЭУ на круглом столе в «Экспоцентре»,2024-04
Успешное противостояние внешнему давлению: XIII Абалкинские чтения в РЭУ,2024-04
Привить любовь к науке: РЭУ проводит форум и премию «КОЛБА» для женщин-ученых,2024-04
Наращивание научного потенциала и возможности суперкомпьютера: заседание Ученого Совета РЭУ,2024-04
Ученые РЭУ разрабатывают инновационные методы переработки текстильных отходов,2024-04
Контроль качества кондитерских изделий в ЕАЭС: РЭУ провёл курс повышения квалификации,2024-04
Молодые учёные РЭУ — финалисты конкурса проектов в химической промышленности,2024-04
"Фестиваль анимационного кино, форум и магистерская программа: Высшая школа креативных индустрий продвигает ИИ",2024-04
Стратегии развития туризма: научно-практическая межвузовская конференция в РЭУ,2024-04
Товароведение и производственная безопасность: X Цереветиновские чтения в РЭУ,2024-04
Роль технологий в борьбе с преступлениями – главная тема научно-практической конференции в РЭУ,2024-04
Анализ тенденций в бюджетно-налоговой сфере в России: новый выпуск аналитического бюллетеня научных сотрудников РЭУ,2024-03
Как изменится мировая финансовая система? Говорят эксперты форума «Шаг в будущее: искусственный интеллект и цифровая экономика»,2024-03
Молодёжная сессия форума «Шаг в будущее: искусственный интеллект и цифровая экономика»: молодые учёные представили свои идеи и разработки,2024-03
Как использовать большие данные в науке? Академическая сессия форума «Шаг в будущее: искусственный интеллект и цифровая экономика»,2024-03
Как использовать большие данные в науке? Академическая сессия форума «Шаг в будущее: искусственный интеллект и цифровая экономика»,2024-03
ИИ в стратегическом анализе и прогнозировании: дискуссия на форуме «Шаг в будущее: искусственный интеллект и цифровая экономика»,2024-03
Суверенитет в сфере IT: как подготовить кадры? Дискуссия на форуме «Шаг в будущее: искусственный интеллект и цифровая экономика»,2024-03
Квантовые технологии – путь развития науки: дискуссионная сессия форума «Шаг в будущее: искусственный интеллект и цифровая экономика» в РЭУ,2024-03
Ректор РЭУ им. Г.В. Плеханова Иван Лобанов провёл рабочую встречу с академиком РАН Арутюном Аветисяном,2024-03
Big data: разработки молодых учёных представят на VI Международном форуме «Шаг в будущее: искусственный интеллект и цифровая экономика»,2024-03
Векторы искусственного интеллекта и цифровой экономики — научная конференция имени А. И. Китова в РЭУ,2024-03
Осознанное использование ресурсов: встреча студентов РЭУ с академиком РАН,2024-03
Многоликий ИИ: научный семинар по искусственному интеллекту в РЭУ,2024-03
Будущее ИИ и альтернативная энергетика: Неделя круглых столов в РЭУ,2024-03
Технологии глубокой химической переработки текстиля: разработки и предложения РЭУ,2024-03
Профессоры РЭУ об интеграции студентов в науку на заседании РАН,2024-03
Семейные ценности в науке: профессоры РЭУ о развитии личности и выборе карьерного пути на выставке «Россия»,2024-02
Финансовые рынки в современных условиях: научно-практическая конференция в РЭУ,2024-02
Большие данные и ИИ в медицине: РНФ продлил учёным РЭУ финансирование мегагранта,2024-02
Российская Арктика: учёные РЭУ участвуют в развитии региона,2024-02
Плехановские учёные разработали рекомендации по совершенствованию методологии формирования потребительских индексов,2024-02
Эксперт РЭУ — спикер форума «Глобальный энергетический диалог»,2024-02
Учёные РЭУ разрабатывают стратегию социально-экономического развития города в Ленинградской области,2024-02
РЭУ поздравляет: Международный день женщин и девочек в науке,2024-02
"День российской науки: успехи, достижения и открытия учёных РЭУ",2024-02
Президент России Владимир Путин в День российской науки провёл заседание Совета по науке и образованию,2024-02
Поздравление Председателя Правительства РФ Михаила Мишустина с Днём российской науки,2024-02
Поздравление Министра науки и высшего образования Валерия Фалькова с Днём российской науки,2024-02
Заместитель Мэра Москвы Максим Ликсутов поздравил коллектив РЭУ с Днём российской науки,2024-02
Поздравление ректора РЭУ Ивана Лобанова с Днём российской науки,2024-02
Будущее образования в новую эпоху: лидеры цифровой отрасли на круглом столе по ИИ в РЭУ,2024-02
Эксперт РЭУ – член жюри международного полимерного хакатона,2024-02
Рейтинг научных журналов РЭУ значительно вырос,2024-01
Плехановские учёные – лауреаты премии «Золотой фонд»,2024-01
Учёные РЭУ создают инновационные финансовые инструменты,2024-01
РЭУ поздравляет: Международный День аспиранта,2024-01
Учёный РЭУ прочитал лекцию о теории сознания в Российской академии наук,2024-01
11 лучших молодёжных коллективов РЭУ провели исследования по приоритетным научным направлениям,2024-01
Эксперты РЭУ провели лекции по экологии в рамках телепроекта «Природоведение на 360°»,2024-01
Эксперт РЭУ рассказал о переходе промышленных предприятий на «зелёную» экономику,2024-01
Научные достижения РЭУ – 2023: результаты и проекты,2024-01
Адаптация регионов России к изменениям климата: итоги проектно-образовательной программы РЭУ и АСИ,2023-12
Бизнес-планирование в условиях санкций: международная научно-практическая конференция в РЭУ,2023-12
Ученые РЭУ имени Г.В. Плеханова предложили новую национальную идею России,2023-12
"Российский научный фонд поддержал проект РЭУ, направленный на сохранение традиционного промысла народов Севера",2023-12
Цифровые трансформации предприятий и нейросетевое прогнозирование: лекции экспертов РЭУ на выставке «Россия»,2023-12
Учёные обсудили роль человеческих ресурсов в формировании экономики России на научной конференции в РЭУ,2023-12
"Предпринимательство, цифровизация, технологии: РЭУ подводит итоги программы «Приоритет-2030»",2023-12
Теория и практика управления: учёные обменялись опытом на конференции в РЭУ,2023-12
Новые технологии в борьбе с преступностью: научная конференция в РЭУ,2023-12
Вектор на развитие науки: на заседании расширенного ректората РЭУ определили планы на 2024 год,2023-12
Инжиниринг и управление знаниями: научная конференция по информатике в РЭУ,2023-12
Экология человека в современных условиях: Всероссийская конференция в РЭУ,2023-12
В РЭУ стартовала защита проектов по теме «Адаптация регионов России к изменениям климата» с участием экспертов АНО АСИ,2023-12
ESG-ценности в бизнесе: спикер РЭУ на конференции «Управление активами – 2023»,2023-12
Учёные из РЭУ усовершенствовали метод расчета индексов цен на инвестиционные продукты,2023-12
РЭУ поздравляет! Демидовскую премию присудили Борису Четверушкину,2023-12
"Трудоустройство выпускников, технологический суверенитет и сохранение духовных ценностей: Всероссийская конференция в РЭУ",2023-12
Парк воздушного транспорта ведущих российских компаний проанализировали в РЭУ,2023-12
Расширяя научное сотрудничество: РЭУ им. Г.В. Плеханова и ГК «Ренова» подписали соглашение о партнёрстве,2023-12
Проекты резидентов Бизнес-инкубатора — в топ-10 на Всероссийском форуме технологического предпринимательства,2023-12
Ректор РЭУ Иван Лобанов наградил победителей «Зелёной премии»,2023-12
Школа молодых учёных: цифровые технологии в медицине,2023-12
РЭУ им. Г.В. Плеханова и ФПА «Женщины атомной отрасли» заключили соглашение о сотрудничестве,2023-12
Проректор РЭУ Ксения Екимова предложила меры поддержки женщин в науке на III Конгрессе молодых учёных,2023-11
Научное волонтёрство: исследователи РЭУ на III Конгрессе молодых учёных,2023-11
Учёные РЭУ — победители конкурса на получение грантов РНФ,2023-11
Пять приоритетов РЭУ в фундаментальной науке: заседание Учёного совета,2023-11
О реальных проектах в сфере BI: преподаватели РЭУ на конференции ViRush 2023,2023-11
Перспективы развития искусственного интеллекта в России: ректор РЭУ Иван Лобанов на конференции AI Journey,2023-11
РЭУ — победитель в конкурсе «Лидер климатического развития»,2023-11
Плехановский университет подписал первый в России Кодекс этики в сфере искусственного интеллекта,2023-11
"Тренды развития библиотек, инновации и информатизация: РЭУ на конференции «LIBCOM-2023»",2023-11
«Место уходящих иностранных компаний в экономике отраслей и регионов России» — новый аналитический бюллетень РЭУ,2023-11
«Место уходящих иностранных компаний в экономике отраслей и регионов России» — новый аналитический бюллетень РЭУ,2023-11
В РЭУ им. Г.В. Плеханова разработали модель расчёта эффектов от мероприятий по снижению выбросов парниковых газов,2023-11
Плехановские эксперты признаны лучшими на Национальной конференции по искусственному интеллекту,2023-11
Самая ожидаемая конференция в области аудита и учёта: РЭУ объединил экспертов отрасли,2023-11
Развитие промышленных кластеров в Омской области: опыт региона рассмотрели на научно-практической конференции в РЭУ,2023-11
Плехановский университет награждён на Всероссийском экономическом собрании,2023-11
"В РЭУ им. Г.В. Плеханова выяснили, какой вид цифровых технологий более эффективен для науки",2023-11
Учёные РЭУ им. Г.В. Плеханова представили комплексный подход к управлению аграрным ростом,2023-11
О влиянии неустойчивой занятости на качество и уровень жизни — в Плехановском университете,2023-10
Учёные РЭУ разработали проект расчётного центра для регулирования российского рынка углеродных единиц,2023-10
В РЭУ им. Г.В. Плеханова исследуют валютное регулирование государств-партнёров РФ,2023-10
РЭУ им. Г.В. Плеханова разработал проекты модельных актов Организации Договора о коллективной безопасности (ОДКБ),2023-10
Плехановские учёные выпустили первый в России учебник по углеродному регулированию и адаптации к изменениям климата,2023-10
Плехановские учёные разработали методику ESG-рейтингования крупного нефинансового бизнеса и МСП,2023-10
Анализ денежно-кредитной системы России: новый выпуск научного бюллетеня РЭУ,2023-10
"Наука для заботы: плехановцы изучили потребности людей, ухаживающих за пожилыми родственниками",2023-10
Плехановские учёные построили новые модели обращения с ТКО,2023-10
Плехановский университет разрабатывает нейросеть «ПЛЕХАНОВ 1.0»,2023-10
Плехановский университет разрабатывает нейросеть «ПЛЕХАНОВ 1.0»,2023-10
Наука — это интересно! РЭУ на Всероссийском фестивале НАУКА 0+,2023-10
Для москвичей важна духовность. Результаты исследования плехановских учёных,2023-10
"Плехановские учёные изобрели полимерный композиционный материал, не имеющий аналогов в мире",2023-10
"Плехановские учёные создали аэрофритюр, который позволяет готовить без масла",2023-10
Бюджетно-налоговая сфера РФ: итог I полугодия 2023 года в новом выпуске аналитического бюллетеня РЭУ,2023-09
«Библиотеки – дорога к знаниям»: Школа Национальной библиотечной ассоциации,2023-09
РЭУ им. Г.В. Плеханова: подготовка кадров для обеспечения технологического суверенитета в отраслях промышленности,2023-09
Студенты РЭУ на Международном молодёжном ядерном форуме,2023-09
Учёные РЭУ им. Г.В. Плеханова проведут оценку уровня защиты прав потребителей в странах ЕАЭС,2023-09
Научные сотрудники РЭУ имени Г.В. Плеханова выступили на Всероссийской конференции молодых учёных-механиков в Сочи,2023-09
Программная разработка учёных РЭУ имени Г.В. Плеханова оценит влияние зелёных инвестиций на экономику страны,2023-09
В РЭУ представили результаты исследования финансового рынка,2023-09
Плехановские учёные представили инструментарий введения базового дохода в РФ на конгрессе в Корее,2023-09
Кафедра истории и философии РЭУ им. Г.В. Плеханова: научные исследования и перспективы молодых учёных,2023-08
Плехановский университет займётся научными исследованиями совместно с «Газпром межрегионгаз инжиниринг»,2023-08
Учёные РЭУ им. Г.В. Плеханова разработали эффективные модели для экономики РФ в условиях санкций,2023-08
"Плехановские учёные проверили, как разлагаются «биоразлагаемые» пакеты",2023-08
Разработки учёных РЭУ помогут заменить импортные ингридиенты на отечественные,2023-08
Бюджетно-налоговая сфера РФ: итоги 2022 года в новом аналитическом бюллетене РЭУ,2023-06
Тенденции развития и модернизация промышленности регионов России – в новом выпуске научного бюллетеня РЭУ,2023-05
Плехановский университет для решения вопросов международной и региональной безопасности,2023-05
Учёные РЭУ разработали новое нейросетевое решение для анализа тональности текста,2023-04
Базовый доход для комфорта жизни — исследование Плехановских учёных,2023-02
Зелёная экономика и управление ресурсами — исследования плехановских учёных,2023-01
Плехановские учёные формируют экономику замкнутого цикла России,2022-11
Создание экономики замкнутого цикла обсудили в РЭУ им. Г.В. Плеханова,2022-07
Бюджетно-налоговая сфера РФ: итоги 2022 года в новом аналитическом бюллетене РЭУ,2023-06
Тенденции развития и модернизация промышленности регионов России – в новом выпуске научного бюллетеня РЭУ,2023-05
